Name,Date,pH,mg NO2 / l,mg N-NO2/l,mg NO3 / l,mg N-NO3/l,mg Fe/l,mg Mn/l,mg O2/l,mg NH4 / l,mg N/l
Effluent VF21,31/05/2023,6.95,0.01916,0.005834201,1.26605,0.28608646,0.04326,0.19928,1.74,1.81745,1.411445371
Column 1.3,31/05/2023,8,0.37312,0.113614675,2.52446,0.570446526,0.03938,0.20786,10.41,1.75946,1.3664099
Column 1.5,31/05/2023,7.56,0.13755,0.04188384,8.57547,1.937779592,0.02505,0.08952,5.06,0.14554,0.113027461
Column 1.6,31/05/2023,7.44,0.01313,0.003998072,10.23761,2.313369615,0.03459,0.02299,5.43,0.0065,0.005047949
Column 1.8,31/05/2023,7.45,0.00075,0.000228374,9.16794,2.0716587,0.01543,0.0021,3.05,0.00372,0.00288898
Effluent Column 1,31/05/2023,7.45,0.00111,0.000337994,9.4093,2.126198274,0.01352,0.00082,3.64,0.00337,0.002617167
Column 2.3,31/05/2023,6.88,0.04695,0.014296229,1.92333,0.434610537,0.03079,0.21193,3.89,1.9937,1.54832245
Column 2.5,31/05/2023,6.95,0.1414,0.043056162,4.49586,1.015919332,0.02233,0.22664,1.21,1.18246,0.91830735
Column 2.6,31/05/2023,6.93,0.04063,0.012371795,5.22842,1.181454261,0.02089,0.26573,0.73,1.01915,0.791479573
Column 2.8,31/05/2023,6.8,0.07437,0.022645592,5.14985,1.163699976,0.0171,0.35435,1.84,0.9953,0.772957483
Effluent Column 2,31/05/2023,6.82,0.14032,0.042727303,5.39083,1.218153682,0.01289,0.45993,0.75,0.99555,0.773151635
Column 3.3,31/05/2023,7.88,0.41175,0.125377472,5.76156,1.301926703,0.01372,0.36405,11.16,0.98135,0.762123808
Column 3.5,31/05/2023,7.57,0.18284,0.055674601,8.75504,1.978356619,0.00711,0.03225,8.05,0.12999,0.100951214
Column 3.6,31/05/2023,7.56,0.01459,0.004442641,9.95267,2.248982366,0.01464,0.00066,5.99,0.00513,0.003983997
Column 3.8,31/05/2023,7.48,0.00152,0.000462839,9.70287,2.192535624,0.00603,0.00033,4.42,0.00805,0.006251691
Effluent Column 3,31/05/2023,7.42,0.00432,0.001315436,9.88624,2.233971329,0.00526,0.00021,1.95,0.00481,0.003735482
Column 4.3,04/08/2023,7.74,0.000322769,0.00106,-0.016276456,-0.07203,0.12895,0.29066,2.6,2.108272018,2.71472
Column 4.5,04/08/2023,7.71,0.001129691,0.00371,-0.013386329,-0.05924,0.0384,0.20605,0.62,2.091310909,2.69288
Column 4.6,04/08/2023,7.76,0.001726509,0.00567,0.00002259,0.0001,0.02331,0.12276,0.55,2.086138703,2.68622
Column 4.8,04/08/2023,7.67,0.002895786,0.00951,0.021457897,0.09496,0.01362,0.0442,0.6,2.108178825,2.7146
Effluent Column 4,04/08/2023,7.72,0.002569972,0.00844,0.009418335,0.04168,0.00748,0.02584,1.28,2.10167862,2.70623
Column 5.3,04/08/2023,8.08,0.133891265,0.43971,0.98399009,4.35456,0.00726,0.00725,10.11,1.067889728,1.37507
Column 5.5,04/08/2023,7.94,0.127371941,0.4183,1.050772597,4.6501,0.00595,0.00316,9.54,0.937776901,1.20753
Column 5.6,04/08/2023,7.86,0.070317959,0.23093,1.752314308,7.75471,0.00495,0.00088,7.32,0.38260347,0.49266
Column 5.8,04/08/2023,7.71,0.003864093,0.01269,2.140777713,9.47382,0.00587,0.00047,5.24,0.006181796,0.00796
Effluent Column 5,04/08/2023,7.72,-0.0000274,-0.00009,2.311179987,10.22792,0.00429,0.00062,4.94,0.005009119,0.00645
Effluent VF 21,04/08/2023,6.84,0.00004871,0.00016,-0.017469566,-0.07731,0.30347,0.31859,2.13,2.116581718,2.72542
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
